Item,,Min_UnitCost,Avg_UnitCost,Max_UnitCost
Steel window frame Overall size 1200 x 500mm high complete with burglar bars,Each,892,1338,2007
,,,0,0
Steel window frame Overall size 1200 x 900mm high complete with burglar bars,Each,1317,1975.5,2963.25
,,,0,0
Steel window frame Overall size 1800 x 1100mm high complete with burglar bars,Each,2206,3309,4963.5
,,,0,0
Steel window frame Overall size 1800 x 900mm high complete with burglar bars,Each,2331,3496.5,5244.75
,,,0,0
Steel window frame Overall size 2400 x 1500mm high complete with burglar bars,Each,3627,5440.5,8160.75
,,,0,0
Steel window frame Overall size 3000 x 1500mm high complete with burglar bars,Each,4326,6489,9733.5
,,,0,0
Steel window frame Overall size 600 x 500mm high complete with burglar bars,Each,485,727.5,1091.25
S-trap -1 ¼ inches (32mm) Diameter,Each,78,117,175.5
Swicth and Socket box 3 x 3 Inches,Each,22,33,49.5
Swicth and Socket box 3 x 6 Inches,Each,28,42,63
Tap - Bib Tap- 13mm Diameter chromium plated,Each,167,250.5,375.75
Tap - Garden Tap- 13mm Diameter chromium plated,Each,180,270,405
Tap - Garden tap19mm chromium plated,Each,203,304.5,456.75
Tap -Pillar Tap- 13mm Diameter Chrome Plated,Each,198,297,445.5
Tee - ½ inch (13mm) PVC,Each,12,18,27
Tee - PVC 19mm x 19mm x 13mm Diameter reducing Tee,Each,21,31.5,47.25
Tee adaptor 13mm (½ inch)Diameter GI,Each,20,30,45
Tee adaptor 25mm Diameter GI,Each,30,45,67.5
Tee adaptor 25mm Diameter PVC,Each,28,42,63
Tee UPVC 50mm,Each,126,189,283.5
Thinners (2.5ltrs),Each,224,336,504
Thinners (5ltrs),Each,406,609,913.5
Thinners (750mls),Each,77,115.5,173.25
Thread tape - 40m (medium),Each,20,30,45
Thread tape - 65mm (big),Each,27,40.5,60.75
Thread tape- 25mm(small),Each,12,18,27
Three lever mortice door lockset,Each,252,378,567
Tile Fix (20kg)-Wall and Floor Tile Adhesive,Each,73,109.5,164.25
Tiles - 330 x 330mm x 10mm Ceramic,Box,331,496.5,744.75
Tiles - 330 x 330mm x 10mm Porcelain,Box,316,474,711
Tiles - 350 x 250mm 10mm Ceramic,Box,297,445.5,668.25
Tiles - 350 x 250mm x 10mm Porcelain,Box,310,465,697.5
Tiles - 400 x 400mm x 10mm Porcelain,Box,333,499.5,749.25
Tiles - 500 x 500mm x 10mm Ceramic,Box,309,463.5,695.25
Tiles - 500 x 500mm x10mm Porcelain,Box,302,453,679.5
Tiles - 600 x 600mm x 10mm Ceramic Slippery,Box,314,471,706.5
Tiles - 600 x 600mm x 10mm Ceramic- Non Slippery,Box,313,469.5,704.25
Tiles - 600 x 600mm x 10mm non-slip porcelean,box,316,474,711
Tiles - 600 x 600mm x 10mm slippery porcelean,box,332,498,747
Tilling Grout 5kg,Each,90,135,202.5
Timber - Sawn softwood 100 x 25mm x 5m,Each,199,298.5,447.75
Timber - Sawn softwood 100 x 50mm x 5m,Each,230,345,517.5
Timber - Sawn softwood 150 x 50mm x 5m,Each,316,474,711
Timber - Sawn softwood 150 x 75mm x 5m,Each,293,439.5,659.25
Timber - Sawn softwood 200 x 50mm x5m,Each,314,471,706.5
Timber - Sawn softwood 225x25mm x 5m,Each,253,379.5,569.25
Timber - Sawn softwood 50 x 50mm x 5m,Each,93,139.5,209.25
Timber - Sawn softwood 75 x 50mm x 5m,Each,139,208.5,312.75
Toilet Ball Valve complete with floater,Each,217,325.5,488.25
Toilet Cistern (Ceramic) - 9 Litres,Each,733,1099.5,1649.25
Toilet Cistern (PVC) - 9 Litres,Each,544,816,1224
Toilet roll holder - 150 x 150mm (recessed ceramic),Each,186,279,418.5
Toilet seat and cover (Wooden),Each,464,696,1044
Toilet seat and cover(Plastic),Each,247,370.5,555.75
Toilet suite complete complete with PVC cistern,Each,1527,2290.5,3435.75
Toilet suite complete with Ceramic cistern,Each,2110,3165,4747.5
Towel rail - 600mm long chromium plated,Each,273,409.5,614.25
Two lever mortice door lockset,Each,214,321,481.5
Tying wire - 1.6mm 25Kg,Each,1373,2059.5,3089.25
Unequal Angles 100 x 50 x 8mm angle iron x 6 metres,Each,1328,1992,2988
Union Socket - 13mm (½ Inch )PVC,Each,21,31.5,47.25
Union Socket - 13mm (Ã‚Â½ Inch ) GI,Each,26,39,58.5
Union Socket - 19mm (¼ inches) PVC,Each,23,34.5,51.75
Union Socket - 19mm(¼ inches) GI,Each,34,51,76.5
Union Socket - 38mm (1 ½ inches) GI,Each,73,109.5,164.25
Union Socket - 38mm (1 ½ inches) PVC,Each,46,69,103.5
Universal Beams 203 x 133 x25.1kg/m x 13m,Each,14148,21222,31833
Universal Beams 254 x 146 x 43 Kg/m x 13m,Each,24194,36291,54436.5
Universal Beams 305 x 165 x 54 Kg/m x13m,Each,26775,40162.5,60243.75
Universal Beams 457 x 191 x 67kg/mx13m,Each,32890,49335,74002.5
Universal Columns 203 x 203 x 46kg/mx13m,Each,23368,35052,52578
Universal Columns 305 x 305 x 96kg/m x13m,Each,52955,79432.5,119148.75
Universal Columns152 x 152 x 23kg/mx13m,Each,14939,22408.5,33612.75
Urinal bowl - Ceramic (Automatic),Each,1659,2488.5,3732.75
Urinal bowl - Ceramic (Manual),Each,569,853.5,1280.25
Urinal bowl - Ceramic (Timed),Each,992,1488,2232
U-trap - 1¼ inches (32mm) Diameter Rubber,Each,82,123,184.5
Vent valve - 110mm Diameter PVC,Each,68,102,153
Wall filler (Crack Filler) -1kg,kg,36,54,81
Wash hand basin (WHB) -Ceramic,Each,593,889.5,1334.25
Wash hand basin (WHB) -Ceramic complete with pedestal,Each,1196,1794,2691
Waste outlet with plug and chain - 1¼ inches (32mm) Diameter,Each,91,136.5,204.75
Waste pipe (PVC( - 32mm Diameter (1Â¼) - 6m,Each,118,177,265.5
Waste pipe (PVC) - 50mm diameter (2 inches) -6m,Each,174,261,391.5
Waste pipe (PVC) 40mm Diameter ( - 1Â½ inches) -6m,Each,141,211.5,317.25
Waste trap - 1¼ inches ( 32mm) Diameter,Each,82,123,184.5
Waste trap - 2 inches (50mm) diameter,Each,103,154.5,231.75
Waste trap -1½ inches ( 40mm) diameter,Each,89,133.5,200.25
Wheel Barrow (heavy duty),Each,2801,4201.5,6302.25
Wheel Barrow (Standard/light duty),Each,1764,2646,3969
Window handle,Each,25,37.5,56.25
Window hinge (pair),Each,22,33,49.5
Window peg stay,Each,26,39,58.5
Window Putty,kg,31,46.5,69.75
Window slide,Each,33,49.5,74.25
Wire nails 1 inch,Kg,54,81,121.5
Wire nails 2 inches,Kg,51,76.5,114.75
Wire nails 3 inches,Kg,51,76.5,114.75
Wire nails 4 inches,Kg,50,75,112.5
Wire nails 5 inches,Kg,51,76.5,114.75
